id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
514221	Confortable apartment in Cadaqués	2499378	Montse		Cadaqués	42.28954	3.27455	Entire home/apt	110	5	19	2019-08-16	0.19	1	146
516474	CAMA EN UNA CASA DE COSTA BRAVA 2	1989406	Mari		Begur	41.95667	3.2074	Private room	57	2	56	2020-08-21	0.65	2	244
520236	Lloret de Mar, 5 min to the beach!	1835600	Alexander		Lloret de Mar	41.70244	2.84823	Entire home/apt	50	2	53	2020-08-25	0.53	1	336
520607	El Badiu d'Alemanys 5	2561441	Joan Manuel		Girona	41.98658	2.82757	Entire home/apt	300	6	12	2019-10-10	0.17	3	257
520743	Can Roure, la Fageda den Jordá	2541570	Eugeni		Santa Pau	42.14435	2.5005	Entire home/apt	116	2	236	2020-09-29	2.36	1	278
521175	DeWaard 4persons furnished tentrent	2563515	Camping Punta Milà		Torroella de Montgrí	42.10603	3.15866	Entire home/apt	50	4	2	2015-07-13	0.03	2	350
527021	Front Row View of Roses Bay	2324496	Franck		Roses	42.24725	3.18247	Entire home/apt	79	3	102	2020-09-29	1.15	1	0
528521	Casa Rabòs beautiful country house!	2596794	Natacha		Rabós	42.37816	3.0275	Entire home/apt	178	2	41	2020-08-23	0.46	3	342
528549	The sea at your feet in Cadaquès	2596935	Marion		Cadaqués	42.27857	3.2768	Entire home/apt	407	4	14	2019-11-02	0.16	1	289
533779	Cozy apartment with big terrace in S'Agaró	2623666	Elisabet		Castell-Platja d'Aro	41.7995	3.05092	Entire home/apt	85	4	34	2020-08-12	0.34	1	268
534034	Apartment Villa Mezzanine, Canyelles Beach	2509034	Melanie		Lloret de Mar	41.70604	2.87819	Entire home/apt	150	7	12	2018-09-01	0.12	3	365
537046	Charming house in Costa Brava	2637736	Ana		Castell-Platja d'Aro	41.829	3.07599	Entire home/apt	108	2	25	2019-08-21	0.25	1	365
538802	Un espacio agradable, amplio y cerca de la PLAYA	2468919	Júlia		Portbou	42.42672	3.15992	Private room	25	2	105	2020-09-27	01.06	1	89
539975	Unique cosy holiday paradise, in nature!	1506816	Jacqueline & Xavi		Vidreres	41.77918	2.84589	Entire home/apt	119	2	73	2020-10-25	0.72	1	168
541344	Beautiful Villa Mare Llafranc	2161783	Pepe		Palafrugell	41.89455	3.1935	Entire home/apt	489	5	25	2020-07-29	0.28	1	276
547026	Albera	2689952	Montse		Porqueres	42.10476	2.73738	Entire home/apt	76	2	1	2018-06-18	0.03	8	365
547032	Pujarnol	2689952	Montse		Porqueres	42.10578	2.73687	Entire home/apt	81	2	3	2020-02-23	0.10	8	365
547034	Rocacorba	2689952	Montse		Porqueres	42.10484	2.73821	Entire home/apt	89	2	0			8	365
547035	El Puig	2689952	Montse		Porqueres	42.10509	2.73762	Entire home/apt	89	2	1	2019-09-09	0.07	8	365
547041	perpinyana	2689952	Montse		Porqueres	42.10636	2.73609	Entire home/apt	109	2	1	2019-09-28	0.08	8	365
547044	Apartment Estunes for 2-3 people	2689952	Montse		Porqueres	42.10514	2.73787	Entire home/apt	91	2	2	2020-09-20	0.07	8	365
549163	Casa con piscina en la Costa Brava	2699942	Francesca		Tossa de Mar	41.71912	2.90761	Entire home/apt	161	3	3	2020-08-26	0.11	1	358
550602	Mas Cal Carreter, take a break	2595151	Pablo		Maià de Montcal	42.18809	2.75919	Entire home/apt	300	7	20	2020-08-15	01.07	1	0
553009	Charming Bungalow overlooking Tossa	2717895	Robby		Tossa de Mar	41.72244	2.93543	Entire home/apt	105	2	32	2020-09-13	0.79	1	24
558914	APART. 5 STARS. CON PISCINA, EN PLAYA FANALS	2735347	Jose Antonio		Lloret de Mar	41.69781	2.83349	Entire home/apt	100	14	0			1	365
560820	Cosy Rural House in the Pyrenees	2745269	David		Vallfogona de Ripollès	42.19488	2.30335	Entire home/apt	218	30	0			1	365
569528	El Mirador de Sant Feliu Terrace	2803313	Jordi		Sant Feliu de Guíxols	41.78469	3.04003	Entire home/apt	46	2	83	2020-09-13	0.93	3	280
